text,label
"Pietersen, Mills pull out of PSL final",Sports
Labour pushes bill to tackle persistent school absenteeism,Politics
From Hockey Enforcer to High-Flying eVTOL CEO,Sports
"From the Touchline - Michelin star rugby fans, the flying mullet and ...",Sports
Sukant Kadam wins silver at Western Australia Para-Badminton ...,Sports
States keen on replicating Amma canteen succ...,Sports
"Pan American Games 2023: Gymnastics - Arthur Nory (BRA), Curran ...",Sports
Perth festival production of climate change work criticised for ‘farcical’ fossil fuel sponsorship,Politics
Truss accused of hiding from budget chaos as No 10 resists recall of MPs,Politics
Minor League Baseball Honors 2023 Golden Bobblehead Award ...,Sports
Nutritionist opportunity in professional cycling,Sports
Chancellor gave Fujitsu executive advice on gaining contracts,Politics
Where to Watch/Listen: Horse Racing Coverage Oct. 25-29,Sports
How Prakash Ambedkar's VBA May Have Harmed Opposition in 20 Maharashtra Seats,Politics
Renowned Horse Racing Sensation Surfs to Big Money in Recent ...,Sports
Mark Huband obituary,Politics
Gulfstream Park: Horse racing pick of the day for Dec. 10,Sports
Election betting: Tories drop two candidates in major U-turn,Politics
Murray and Raducanu mixed doubles match may clash with England game,Politics
Proteas keen on extending good year for sport in South Africa,Sports
Guardian scoops three prizes at the British Journalism Awards,Politics
A MotoGP Bike Drag Races A Formula 1 Car And Modified Porsche ...,Sports
Mahoning Valley: Horse racing pick of the day for Nov. 2,Sports
Taekwondo: 3 gold medalists from Malda to compete at nat’l level,Sports
South Austin bar marks Formula 1 with inaugural Bassett Hound Grand Prix,Sports
Racing’s response to tax ‘harmonisation’ bombshell risks disturbing endgame | Greg Wood,Politics
MMA mania hits Rarotonga: Ultimate Rage Fight Night promises ...,Sports
The ICC Men's Cricket World Cup 2023 achieves milestone of 1 ...,Sports
"UK politics: Unite hits back at Starmer over Birmingham bin strike, questioning Labour’s backing for ‘working people’– as it happened",Politics
Unite warns it will hold back funds if Labour weakens plan on workers’ rights,Politics
No 10 accused of having ‘revolving door’ after new Treasury minister embroiled in China row,Politics
Iran executes second protester after rapid trial as EU plans more sanctions,Politics
4/10/2023 Horse Racing Tips and Best Bets – Pakenham Synthetic,Sports
"No, Analysts Did Not Get Haryana 'Entirely' Wrong",Politics
'A Compassionate Visionary': Former Prime Minister Dr Manmohan Singh Passes Away,Politics
Fox News accused of downplaying coronavirus as it moves to protect staff,Politics
"UK’s Brexit divorce bill stood at £36.7bn in 2021, EU audit reveals",Politics
The Anti-Sports Personality of the Year awards 2024,Politics
"Memphis basketball vs Jackson State: Score prediction, scouting ...",Sports
